"User_ID","Age","Gender","Daily_Screen_Time.hrs.","Sleep_Quality.1.10.","Stress_Level.1.10.","Days_Without_Social_Media","Exercise_Frequency.week.","Social_Media_Platform","Happiness_Index.1.10."
"U003",23,"Other",7.4,6,7,1,3,"YouTube",6
"U009",39,"Male",4.7,7,7,6,1,"YouTube",9
"U013",17,"Female",7,7,10,7,1,"YouTube",8
"U052",29,"Female",3.3,7,5,1,2,"YouTube",10
"U053",46,"Female",3.6,7,5,3,3,"YouTube",10
"U055",23,"Female",5.2,6,6,7,3,"YouTube",8
"U066",16,"Male",4.4,8,4,5,1,"YouTube",10
"U067",40,"Male",4.6,7,6,2,1,"YouTube",10
"U071",16,"Male",6.9,5,8,3,3,"YouTube",5
"U079",43,"Other",4,7,7,2,4,"YouTube",9
"U091",29,"Male",4,6,4,1,4,"YouTube",9
"U114",43,"Male",6.4,6,7,4,2,"YouTube",7
"U120",45,"Male",6.2,5,8,5,3,"YouTube",8
"U124",48,"Male",2.8,7,5,5,3,"YouTube",10
"U147",47,"Male",6.2,5,7,6,1,"YouTube",9
"U152",41,"Female",7.4,4,9,6,3,"YouTube",5
"U155",47,"Female",3.3,8,5,4,4,"YouTube",10
"U158",32,"Male",7.3,5,7,1,3,"YouTube",8
"U161",49,"Male",5.1,5,7,6,3,"YouTube",8
"U162",21,"Female",3.4,9,7,5,1,"YouTube",8
"U165",31,"Other",3.3,9,5,0,2,"YouTube",10
"U174",41,"Male",4.9,7,5,5,5,"YouTube",10
"U180",48,"Male",6.8,4,7,4,2,"YouTube",7
"U184",43,"Female",6.1,7,9,1,4,"YouTube",7
"U191",41,"Male",3.1,7,7,2,3,"YouTube",9
"U198",34,"Male",7.3,5,7,1,1,"YouTube",6
"U209",40,"Other",5.5,6,7,3,0,"YouTube",9
"U216",19,"Female",8.7,6,7,5,3,"YouTube",10
"U221",23,"Other",5.2,7,6,5,1,"YouTube",9
"U222",22,"Male",4.2,6,6,0,2,"YouTube",8
"U226",27,"Male",6.6,5,7,5,2,"YouTube",7
"U227",37,"Female",4.6,9,6,3,2,"YouTube",8
"U228",37,"Female",4.7,9,6,3,1,"YouTube",10
"U236",48,"Female",7.5,4,9,4,5,"YouTube",5
"U241",19,"Female",6.2,5,7,1,3,"YouTube",8
"U243",43,"Male",4.8,6,5,3,5,"YouTube",10
"U258",46,"Male",5.3,7,8,5,5,"YouTube",9
"U263",38,"Female",2.7,6,3,4,4,"YouTube",10
"U266",17,"Male",8.7,4,8,1,1,"YouTube",7
"U270",24,"Female",5.8,8,6,1,2,"YouTube",10
"U274",39,"Male",6.9,5,7,3,0,"YouTube",9
"U278",16,"Female",5,7,6,1,5,"YouTube",10
"U281",29,"Female",5.2,7,6,1,5,"YouTube",10
"U284",30,"Female",5.9,6,9,3,2,"YouTube",7
"U287",17,"Male",6.2,6,8,0,3,"YouTube",7
"U298",20,"Male",7.7,4,8,5,0,"YouTube",5
"U303",31,"Female",7,5,6,3,4,"YouTube",8
"U306",34,"Female",5.3,6,6,6,2,"YouTube",10
"U308",34,"Male",7.8,5,9,2,2,"YouTube",6
"U313",24,"Male",5.6,5,8,7,1,"YouTube",7
"U324",44,"Female",7.5,7,8,4,3,"YouTube",9
"U340",36,"Female",6.1,7,7,5,2,"YouTube",9
"U347",46,"Other",3.5,7,6,1,2,"YouTube",10
"U352",20,"Female",5,6,5,3,3,"YouTube",9
"U357",17,"Female",2.5,9,4,5,4,"YouTube",10
"U368",16,"Male",2.5,8,4,4,4,"YouTube",10
"U374",46,"Male",4.4,7,7,5,1,"YouTube",8
"U388",44,"Female",2.2,9,4,4,4,"YouTube",10
"U390",36,"Female",6.8,5,8,3,4,"YouTube",8
"U399",27,"Male",3.9,7,5,0,4,"YouTube",10
"U400",28,"Male",3.7,8,5,4,3,"YouTube",10
"U401",38,"Female",7.2,5,8,1,2,"YouTube",9
"U402",40,"Male",4.4,7,5,4,0,"YouTube",10
"U404",32,"Male",6.2,6,8,4,5,"YouTube",7
"U407",37,"Female",4.4,7,6,5,4,"YouTube",10
"U413",24,"Male",8.8,5,9,0,3,"YouTube",6
"U426",29,"Female",6.2,6,9,2,1,"YouTube",8
"U441",17,"Female",9.5,4,9,2,2,"YouTube",4
"U443",44,"Female",6.4,5,6,5,3,"YouTube",6
"U459",18,"Male",7.3,5,8,1,1,"YouTube",7
"U471",21,"Male",4.4,5,6,4,3,"YouTube",7
"U478",35,"Male",3.3,9,6,4,4,"YouTube",10
"U481",30,"Male",5,7,8,2,5,"YouTube",7
"U482",46,"Female",8.6,4,8,2,2,"YouTube",4
"U492",23,"Male",3.3,10,4,2,1,"YouTube",10
